inventor_id,name,country
inv-00001,Wei Smith,JP
inv-00002,Hans Mueller,US
inv-00003,Wei Garcia,US
inv-00004,Sofia Smith,US
inv-00005,Hans Mueller,US
inv-00006,James Garcia,US
inv-00007,Maria Rossi,US
inv-00008,David Patel,JP
inv-00009,James Tanaka,CN
inv-00010,Ali Patel,US
inv-00011,Ali Zhang,US
inv-00012,Wei Hassan,DE
inv-00013,David Patel,JP
inv-00014,Chen Garcia,US
inv-00015,Sofia Zhang,CN
inv-00016,David Hassan,CN
inv-00017,Wei Smith,CN
inv-00018,Priya Zhang,DE
inv-00019,Wei Rossi,US
inv-00020,Ali Tanaka,US
inv-00021,Hans Patel,CN
inv-00022,Wei Johnson,CN
inv-00023,Maria Mueller,US
inv-00024,Sofia Patel,UG
inv-00025,Maria Mueller,CN
inv-00026,James Mueller,DE
inv-00027,Ali Rossi,US
inv-00028,Hans Johnson,KR
inv-00029,Ali Mueller,CN
inv-00030,Sofia Wang,US
inv-00031,Yuki Mueller,JP
inv-00032,Maria Patel,JP
inv-00033,Sofia Johnson,US
inv-00034,Hans Tanaka,US
inv-00035,Wei Smith,KR
inv-00036,Yuki Tanaka,JP
inv-00037,Sofia Johnson,US
inv-00038,Sofia Johnson,IN
inv-00039,Maria Patel,TW
inv-00040,James Zhang,CN
inv-00041,Maria Patel,JP
inv-00042,Ali Zhang,US
inv-00043,Yuki Wang,US
inv-00044,Priya Garcia,JP
inv-00045,Maria Zhang,KR
inv-00046,Priya Garcia,CN
inv-00047,Yuki Hassan,JP
inv-00048,Maria Garcia,GB
inv-00049,David Hassan,US
inv-00050,Wei Hassan,KR
inv-00051,Priya Mueller,US
inv-00052,David Zhang,US
inv-00053,Chen Zhang,TW
inv-00054,Maria Tanaka,US
inv-00055,Chen Garcia,US
inv-00056,Maria Johnson,US
inv-00057,Hans Garcia,JP
inv-00058,Hans Patel,US
inv-00059,Ali Wang,KR
inv-00060,Chen Zhang,US
inv-00061,Wei Hassan,US
inv-00062,Maria Mueller,CN
inv-00063,James Zhang,CN
inv-00064,James Mueller,US
inv-00065,James Hassan,US
inv-00066,Hans Patel,CN
inv-00067,Hans Garcia,US
inv-00068,David Johnson,US
inv-00069,Chen Rossi,US
inv-00070,Wei Rossi,US
inv-00071,Sofia Wang,KR
inv-00072,James Zhang,US
inv-00073,Ali Zhang,US
inv-00074,Hans Garcia,US
inv-00075,Sofia Tanaka,US
inv-00076,Hans Zhang,US
inv-00077,Maria Zhang,US
inv-00078,Maria Smith,CA
inv-00079,Hans Tanaka,US
inv-00080,Chen Mueller,KR
inv-00081,James Tanaka,US
inv-00082,Sofia Patel,GB
inv-00083,Chen Patel,US
inv-00084,Maria Wang,US
inv-00085,Priya Mueller,CA
inv-00086,David Garcia,US
inv-00087,Ali Smith,US
inv-00088,Chen Garcia,GB
inv-00089,Maria Tanaka,US
inv-00090,Maria Zhang,DE
inv-00091,Wei Johnson,US
inv-00092,Hans Rossi,US
inv-00093,David Mueller,CN
inv-00094,James Johnson,US
inv-00095,David Johnson,US
inv-00096,Priya Mueller,CN
inv-00097,Ali Mueller,US
inv-00098,Yuki Patel,US
inv-00099,Wei Smith,US
inv-00100,David Zhang,US
inv-00101,Hans Garcia,US
inv-00102,Ali Zhang,KR
inv-00103,Ali Patel,US
inv-00104,Maria Patel,CN
inv-00105,Maria Smith,CN
inv-00106,Maria Patel,FR
inv-00107,Wei Tanaka,US
inv-00108,Wei Garcia,US
inv-00109,Priya Johnson,US
inv-00110,Ali Mueller,CN
