patent_id,company_id
US10000001,asgn-0001
US10000002,asgn-0010
US10000003,asgn-0010
US10000004,asgn-0005
US10000005,asgn-0004
US10000006,asgn-0006
US10000007,asgn-0001
US10000009,asgn-0005
US10000010,asgn-0006
US10000011,asgn-0010
US10000013,asgn-0010
US10000015,asgn-0008
US10000016,asgn-0007
US10000017,asgn-0006
US10000018,asgn-0005
US10000019,asgn-0003
US10000020,asgn-0009
US10000021,asgn-0003
US10000024,asgn-0003
US10000025,asgn-0002
US10000026,asgn-0010
US10000027,asgn-0010
US10000028,asgn-0010
US10000029,asgn-0004
US10000030,asgn-0002
US10000031,asgn-0001
US10000032,asgn-0004
US10000033,asgn-0003
US10000034,asgn-0010
US10000035,asgn-0007
US10000036,asgn-0007
US10000037,asgn-0010
US10000038,asgn-0003
US10000040,asgn-0006
US10000041,asgn-0008
US10000042,asgn-0006
US10000044,asgn-0008
US10000045,asgn-0005
US10000047,asgn-0009
US10000049,asgn-0008
US10000051,asgn-0007
US10000052,asgn-0010
US10000053,asgn-0006
US10000055,asgn-0006
US10000058,asgn-0003
US10000059,asgn-0002
US10000060,asgn-0008
US10000061,asgn-0005
US10000062,asgn-0002
US10000063,asgn-0001
US10000064,asgn-0010
US10000065,asgn-0007
US10000066,asgn-0005
US10000069,asgn-0005
US10000070,asgn-0006
US10000071,asgn-0001
US10000072,asgn-0005
US10000073,asgn-0005
US10000075,asgn-0003
US10000076,asgn-0009
US10000079,asgn-0007
US10000080,asgn-0005
US10000081,asgn-0001
US10000082,asgn-0008
US10000083,asgn-0001
US10000085,asgn-0009
US10000086,asgn-0008
US10000087,asgn-0008
US10000088,asgn-0006
US10000090,asgn-0001
US10000091,asgn-0009
US10000092,asgn-0010
US10000093,asgn-0003
US10000094,asgn-0004
US10000095,asgn-0007
US10000096,asgn-0006
US10000099,asgn-0008
US10000100,asgn-0010
US10000101,asgn-0009
US10000103,asgn-0008
US10000104,asgn-0005
US10000106,asgn-0010
US10000108,asgn-0010
US10000109,asgn-0009
US10000112,asgn-0005
US10000113,asgn-0007
US10000114,asgn-0007
US10000115,asgn-0006
US10000116,asgn-0010
US10000117,asgn-0010
US10000118,asgn-0006
US10000119,asgn-0005
US10000120,asgn-0004
US10000121,asgn-0007
US10000122,asgn-0006
US10000123,asgn-0002
US10000124,asgn-0002
US10000125,asgn-0006
US10000126,asgn-0009
