patent_id,inventor_id
US10000001,inv-00064
US10000002,inv-00122
US10000003,inv-00197
US10000003,inv-00095
US10000004,inv-00149
US10000005,inv-00184
US10000005,inv-00051
US10000006,inv-00154
US10000006,inv-00031
US10000006,inv-00145
US10000007,inv-00018
US10000007,inv-00130
US10000008,inv-00093
US10000008,inv-00163
US10000009,inv-00046
US10000009,inv-00188
US10000010,inv-00112
US10000010,inv-00188
US10000011,inv-00063
US10000011,inv-00193
US10000012,inv-00127
US10000013,inv-00067
US10000013,inv-00088
US10000014,inv-00133
US10000015,inv-00126
US10000015,inv-00143
US10000016,inv-00005
US10000016,inv-00024
US10000017,inv-00149
US10000017,inv-00095
US10000017,inv-00122
US10000018,inv-00091
US10000018,inv-00180
US10000019,inv-00050
US10000019,inv-00081
US10000019,inv-00031
US10000020,inv-00071
US10000020,inv-00186
US10000021,inv-00076
US10000022,inv-00033
US10000022,inv-00071
US10000022,inv-00012
US10000023,inv-00164
US10000024,inv-00073
US10000024,inv-00121
US10000024,inv-00123
US10000025,inv-00017
US10000026,inv-00039
US10000027,inv-00143
US10000028,inv-00098
US10000028,inv-00116
US10000028,inv-00114
US10000029,inv-00016
US10000029,inv-00157
US10000029,inv-00190
US10000030,inv-00021
US10000030,inv-00041
US10000030,inv-00062
US10000031,inv-00177
US10000031,inv-00153
US10000032,inv-00180
US10000032,inv-00117
US10000033,inv-00051
US10000033,inv-00109
US10000033,inv-00030
US10000034,inv-00043
US10000035,inv-00120
US10000036,inv-00113
US10000036,inv-00021
US10000037,inv-00024
US10000038,inv-00148
US10000038,inv-00011
US10000039,inv-00072
US10000039,inv-00047
US10000040,inv-00121
US10000041,inv-00085
US10000042,inv-00010
US10000042,inv-00117
US10000042,inv-00023
US10000043,inv-00169
US10000044,inv-00133
US10000045,inv-00069
US10000046,inv-00008
US10000047,inv-00080
US10000048,inv-00119
US10000049,inv-00075
US10000049,inv-00131
US10000049,inv-00181
US10000050,inv-00038
US10000050,inv-00099
US10000050,inv-00049
US10000051,inv-00071
US10000052,inv-00073
US10000053,inv-00115
US10000054,inv-00117
US10000054,inv-00083
US10000055,inv-00060
US10000055,inv-00199
US10000056,inv-00170
US10000056,inv-00167
US10000057,inv-00152
US10000057,inv-00085
US10000057,inv-00026
US10000058,inv-00004
US10000058,inv-00185
US10000059,inv-00160
US10000059,inv-00178
US10000060,inv-00082
US10000060,inv-00161
US10000061,inv-00061
US10000062,inv-00026
US10000062,inv-00195
US10000063,inv-00008
US10000063,inv-00012
US10000064,inv-00038
US10000064,inv-00063
US10000065,inv-00021
US10000066,inv-00150
US10000066,inv-00037
US10000067,inv-00120
US10000068,inv-00114
US10000069,inv-00177
US10000069,inv-00065
US10000070,inv-00061
US10000071,inv-00006
US10000071,inv-00169
US10000072,inv-00156
US10000073,inv-00163
US10000074,inv-00036
US10000074,inv-00161
US10000074,inv-00025
US10000075,inv-00009
US10000075,inv-00149
US10000076,inv-00107
US10000076,inv-00045
US10000076,inv-00052
US10000077,inv-00043
US10000077,inv-00066
US10000078,inv-00030
US10000078,inv-00120
US10000079,inv-00173
US10000079,inv-00102
US10000079,inv-00143
US10000080,inv-00117
US10000081,inv-00028
US10000081,inv-00173
US10000082,inv-00057
US10000082,inv-00166
US10000082,inv-00017
US10000083,inv-00030
US10000083,inv-00036
US10000084,inv-00061
US10000085,inv-00172
US10000085,inv-00191
US10000086,inv-00040
US10000086,inv-00107
US10000086,inv-00168
US10000087,inv-00177
US10000088,inv-00176
US10000089,inv-00032
US10000090,inv-00165
US10000091,inv-00145
US10000092,inv-00085
US10000093,inv-00139
US10000094,inv-00004
