patent_id,title,abstract,filing_date,year
US10000001,Battery circuit,A method and apparatus for improved performance.,2015-10-09,2015
US10000002,Quantum device,A method and apparatus for improved performance.,2021-12-19,2021
US10000003,Optical network,A method and apparatus for improved performance.,2017-06-11,2017
US10000004,Quantum system,A method and apparatus for improved performance.,2016-04-14,2016
US10000005,Battery method,A method and apparatus for improved performance.,2021-06-16,2021
US10000006,Battery system,A method and apparatus for improved performance.,2016-02-22,2016
US10000007,Optical network,A method and apparatus for improved performance.,2020-12-22,2020
US10000008,Optical circuit,A method and apparatus for improved performance.,2019-09-17,2019
US10000009,Battery device,A method and apparatus for improved performance.,2020-02-27,2020
US10000010,Wireless method,A method and apparatus for improved performance.,2021-11-27,2021
US10000011,Semiconductor system,A method and apparatus for improved performance.,2017-10-02,2017
US10000012,Optical system,A method and apparatus for improved performance.,2022-06-29,2022
US10000013,Optical device,A method and apparatus for improved performance.,2017-01-14,2017
US10000014,Neural apparatus,A method and apparatus for improved performance.,2022-11-12,2022
US10000015,Quantum network,A method and apparatus for improved performance.,2015-12-17,2015
US10000016,Battery method,A method and apparatus for improved performance.,2022-03-30,2022
US10000017,Quantum system,A method and apparatus for improved performance.,2022-10-04,2022
US10000018,Battery apparatus,A method and apparatus for improved performance.,2019-10-09,2019
US10000019,Quantum circuit,A method and apparatus for improved performance.,2017-10-26,2017
US10000020,Quantum network,A method and apparatus for improved performance.,2017-02-23,2017
US10000021,Neural circuit,A method and apparatus for improved performance.,2021-09-10,2021
US10000022,Semiconductor network,A method and apparatus for improved performance.,2018-05-23,2018
US10000023,Neural network,A method and apparatus for improved performance.,2021-03-16,2021
US10000024,Semiconductor circuit,A method and apparatus for improved performance.,2020-07-03,2020
US10000025,Neural method,A method and apparatus for improved performance.,2015-07-30,2015
US10000026,Battery network,A method and apparatus for improved performance.,2021-06-21,2021
US10000027,Semiconductor device,A method and apparatus for improved performance.,2018-05-29,2018
US10000028,Wireless device,A method and apparatus for improved performance.,2021-09-07,2021
US10000029,Neural apparatus,A method and apparatus for improved performance.,2019-10-23,2019
US10000030,Quantum system,A method and apparatus for improved performance.,2022-01-06,2022
US10000031,Semiconductor method,A method and apparatus for improved performance.,2016-10-03,2016
US10000032,Neural network,A method and apparatus for improved performance.,2017-08-06,2017
US10000033,Battery apparatus,A method and apparatus for improved performance.,2017-12-19,2017
US10000034,Quantum circuit,A method and apparatus for improved performance.,2017-12-24,2017
US10000035,Neural method,A method and apparatus for improved performance.,2021-05-20,2021
US10000036,Wireless apparatus,A method and apparatus for improved performance.,2018-01-20,2018
US10000037,Wireless system,A method and apparatus for improved performance.,2018-08-13,2018
