patent_id	date	title	abstract
US10000001	2015-10-09	Battery circuit	A method and apparatus for improved performance.
US10000002	2021-12-19	Quantum device	A method and apparatus for improved performance.
US10000003	2017-06-11	Optical network	A method and apparatus for improved performance.
US10000004	2016-04-14	Quantum system	A method and apparatus for improved performance.
US10000005	2021-06-16	Battery method	A method and apparatus for improved performance.
US10000006	2016-02-22	Battery system	A method and apparatus for improved performance.
US10000007	2020-12-22	Optical network	A method and apparatus for improved performance.
US10000008	2019-09-17	Optical circuit	A method and apparatus for improved performance.
US10000009	2020-02-27	Battery device	A method and apparatus for improved performance.
US10000010	2021-11-27	Wireless method	A method and apparatus for improved performance.
US10000011	2017-10-02	Semiconductor system	A method and apparatus for improved performance.
US10000012	2022-06-29	Optical system	A method and apparatus for improved performance.
US10000013	2017-01-14	Optical device	A method and apparatus for improved performance.
US10000014	2022-11-12	Neural apparatus	A method and apparatus for improved performance.
US10000015	2015-12-17	Quantum network	A method and apparatus for improved performance.
US10000016	2022-03-30	Battery method	A method and apparatus for improved performance.
US10000017	2022-10-04	Quantum system	A method and apparatus for improved performance.
US10000018	2019-10-09	Battery apparatus	A method and apparatus for improved performance.
US10000019	2017-10-26	Quantum circuit	A method and apparatus for improved performance.
US10000020	2017-02-23	Quantum network	A method and apparatus for improved performance.
US10000021	2021-09-10	Neural circuit	A method and apparatus for improved performance.
US10000022	2018-05-23	Semiconductor network	A method and apparatus for improved performance.
US10000023	2021-03-16	Neural network	A method and apparatus for improved performance.
US10000024	2020-07-03	Semiconductor circuit	A method and apparatus for improved performance.
US10000025	2015-07-30	Neural method	A method and apparatus for improved performance.
US10000026	2021-06-21	Battery network	A method and apparatus for improved performance.
US10000027	2018-05-29	Semiconductor device	A method and apparatus for improved performance.
US10000028	2021-09-07	Wireless device	A method and apparatus for improved performance.
US10000029	2019-10-23	Neural apparatus	A method and apparatus for improved performance.
US10000030	2022-01-06	Quantum system	A method and apparatus for improved performance.
US10000031	2016-10-03	Semiconductor method	A method and apparatus for improved performance.
US10000032	2017-08-06	Neural network	A method and apparatus for improved performance.
US10000033	2017-12-19	Battery apparatus	A method and apparatus for improved performance.
US10000034	2017-12-24	Quantum circuit	A method and apparatus for improved performance.
US10000035	2021-05-20	Neural method	A method and apparatus for improved performance.
US10000036	2018-01-20	Wireless apparatus	A method and apparatus for improved performance.
US10000037	2018-08-13	Wireless system	A method and apparatus for improved performance.
US10000038	2021-08-01	Semiconductor network	A method and apparatus for improved performance.
US10000039	2020-04-11	Wireless network	A method and apparatus for improved performance.
US10000040	2019-11-21	Battery method	A method and apparatus for improved performance.
US10000041	2018-08-08	Battery circuit	A method and apparatus for improved performance.
US10000042	2018-03-26	Battery method	A method and apparatus for improved performance.
US10000043	2016-04-19	Optical apparatus	A method and apparatus for improved performance.
US10000044	2020-03-07	Optical circuit	A method and apparatus for improved performance.
US10000045	2022-01-05	Optical circuit	A method and apparatus for improved performance.
US10000046	2019-11-30	Battery method	A method and apparatus for improved performance.
US10000047	2021-10-29	Quantum network	A method and apparatus for improved performance.
US10000048	2019-07-30	Semiconductor device	A method and apparatus for improved performance.
US10000049	2022-04-07	Quantum method	A method and apparatus for improved performance.
US10000050	2020-04-18	Quantum method	A method and apparatus for improved performance.
US10000051	2020-09-12	Battery device	A method and apparatus for improved performance.
US10000052	2018-10-24	Wireless system	A method and apparatus for improved performance.
US10000053	2021-07-03	Battery method	A method and apparatus for improved performance.
US10000054	2018-09-23	Wireless apparatus	A method and apparatus for improved performance.
US10000055	2022-10-27	Quantum apparatus	A method and apparatus for improved performance.
US10000056	2020-04-21	Battery method	A method and apparatus for improved performance.
US10000057	2020-07-21	Semiconductor device	A method and apparatus for improved performance.
US10000058	2019-12-09	Semiconductor apparatus	A method and apparatus for improved performance.
US10000059	2015-11-03	Optical system	A method and apparatus for improved performance.
US10000060	2018-09-07	Battery apparatus	A method and apparatus for improved performance.
US10000061	2021-01-25	Semiconductor apparatus	A method and apparatus for improved performance.
US10000062	2017-07-20	Battery circuit	A method and apparatus for improved performance.
US10000063	2019-12-23	Quantum network	A method and apparatus for improved performance.
US10000064	2018-04-16	Neural system	A method and apparatus for improved performance.
US10000065	2022-08-24	Quantum device	A method and apparatus for improved performance.
US10000066	2021-12-13	Battery device	A method and apparatus for improved performance.
US10000067	2020-02-26	Neural network	A method and apparatus for improved performance.
US10000068	2022-08-07	Wireless device	A method and apparatus for improved performance.
US10000069	2021-08-03	Neural network	A method and apparatus for improved performance.
US10000070	2017-03-26	Optical method	A method and apparatus for improved performance.
US10000071	2021-06-12	Neural network	A method and apparatus for improved performance.
US10000072	2021-05-07	Battery network	A method and apparatus for improved performance.
US10000073	2017-07-31	Wireless system	A method and apparatus for improved performance.
US10000074	2022-08-08	Battery network	A method and apparatus for improved performance.
US10000075	2022-04-01	Semiconductor system	A method and apparatus for improved performance.
US10000076	2016-01-05	Neural system	A method and apparatus for improved performance.
US10000077	2019-02-07	Wireless apparatus	A method and apparatus for improved performance.
US10000078	2020-05-27	Neural network	A method and apparatus for improved performance.
