rank,name,country,patent_count,pct_of_total
1,Sofia Patel,UG,12,1.2085
1,Maria Zhang,KR,12,1.2085
3,Hans Garcia,JP,11,1.1078
4,Ali Garcia,KR,10,1.007
4,Yuki Smith,KR,10,1.007
4,Wei Rossi,US,10,1.007
7,Yuki Wang,US,9,0.9063
7,Priya Mueller,CA,9,0.9063
7,Priya Mueller,CN,9,0.9063
7,Sofia Johnson,JP,9,0.9063
7,Sofia Garcia,DE,9,0.9063
7,Chen Wang,US,9,0.9063
13,David Patel,JP,8,0.8056
13,Sofia Wang,US,8,0.8056
13,Sofia Johnson,US,8,0.8056
13,Hans Tanaka,US,8,0.8056
13,Sofia Wang,KR,8,0.8056
13,David Mueller,CN,8,0.8056
13,Priya Smith,US,8,0.8056
13,Chen Garcia,CN,8,0.8056
13,Priya Mueller,US,8,0.8056
13,Ali Garcia,US,8,0.8056
13,Sofia Hassan,US,8,0.8056
13,Sofia Tanaka,DE,8,0.8056
13,Chen Smith,JP,8,0.8056
26,Wei Smith,CN,7,0.7049
26,Hans Johnson,KR,7,0.7049
26,Yuki Tanaka,JP,7,0.7049
26,Sofia Johnson,IN,7,0.7049
26,Maria Garcia,GB,7,0.7049
26,Maria Zhang,US,7,0.7049
26,David Zhang,US,7,0.7049
26,Hans Mueller,US,7,0.7049
26,Maria Hassan,FR,7,0.7049
26,Wei Patel,US,7,0.7049
26,Priya Smith,US,7,0.7049
26,Maria Mueller,US,7,0.7049
26,Yuki Johnson,CN,7,0.7049
26,Priya Patel,US,7,0.7049
26,Hans Tanaka,US,7,0.7049
26,Chen Johnson,DE,7,0.7049
26,Sofia Smith,US,7,0.7049
26,Sofia Patel,JP,7,0.7049
44,James Garcia,US,6,0.6042
44,Wei Hassan,DE,6,0.6042
44,David Hassan,CN,6,0.6042
44,Hans Patel,CN,6,0.6042
44,Maria Patel,JP,6,0.6042
44,Wei Smith,KR,6,0.6042
44,Sofia Johnson,US,6,0.6042
